variable,biswas_source,current_source,biswas_resolution,current_resolution,biswas_temporal_frequency,current_temporal_frequency,units,preprocessing_difference,scientific_implication,comparability
Fire occurrence,MODIS C6.1 active fire (Terra+Aqua),MODIS C6.1 FIRMS archive (Terra+Aqua),points; 25 km density grid; 0.25 deg model,points -> 1/120 deg pixels (containing pixel),2001-2020; model uses 2020 only,2000-11-01 .. 2022-12-15 (all years in labels),-,"Same forest codes; Biswas clip in GIS to vectorised forest; this study: per-year LCCS pixel lookup. No confidence/type filter in either (Biswas: not reported)",Same product family; annual counts agree (r=0.99996),High (points) / Limited (model labels: 2020 vs pooled 2000-2022)
Land cover,ESA-CCI v2.0.7cds (2001-2015) + C3S v2.1.1 (2016-2020),Same products (v2.0.7cds <=2015; v2.1.1 2016-2022),300 m,300 m -> 1 km fractions,yearly,yearly (filter); 2001 static fractions (v2 features),class,Same 13 forest codes,-,High
NDVI,MOD13C2 v006,MOD13A3.061,0.05 deg,1 km (1/120 deg),monthly,monthly,unitless,"C6 vs C6.1; CMG vs 1 km tile product; QA Good+Marginal here (Biswas QA: not reported)",Finer resolution; collection update,Moderate
LST day/night,MOD11C3 v006,MOD11A2.061,0.05 deg,1 km,monthly,8-day (averaged to monthly by composite start date),K / deg C,"8-day composites vs monthly CMG; QC bits 0-1 <= 1 here (Biswas QC: not reported); 2 composites missing here",Different product and compositing; 0.05-deg aggregation retains 98.5-99.4% of spatial variance and changes model AUC by ~0,Moderate
Air temperature,FLDAS NOAH01_C_GL_M v001,FLDAS_NOAH01_C_GL_M.001,0.1 deg,0.1 deg -> 1 km bilinear,monthly,monthly,K,v1: anomaly-mean (degenerate); v2: climatological level,v2 matches Biswas's variable form,High (v2) / Limited (v1)
Specific humidity,FLDAS v001,FLDAS .001,0.1 deg,0.1 deg -> 1 km,monthly,monthly,kg/kg,as above,as above,High (v2) / Limited (v1)
Wind speed,FLDAS v001,FLDAS .001,0.1 deg,0.1 deg -> 1 km,monthly,monthly,m/s,as above,as above,High (v2) / Limited (v1)
Precipitation,GPM 3IMERGHHL v06,FLDAS Rainf_f_tavg (CHIRPS-based forcing),0.1 deg,0.1 deg -> 1 km,half-hourly,monthly,mm/h vs mm/month,Different product; unit conversion x86400 x days,Not the same precipitation estimate; source differences can shift spatial pattern (Fig 11 correlation with fire density 0.402 here),Limited
Soil moisture,GLDAS NOAH025_M v2.1,FLDAS SoilMoi00_10cm,0.25 deg,0.1 deg -> 1 km,monthly,monthly,kg/m2,Different LSM forcing and layer handling,Correlation with fire density 0.389 here vs 0.27 Biswas,Limited
Net longwave radiation,GLDAS NOAH025_3H v2.1,FLDAS Lwnet_tavg,0.25 deg,0.1 deg -> 1 km,3-hourly,monthly,W/m2,Different model,Correlation 0.361 here vs 0.28 Biswas,Limited
Elevation / slope / aspect,Not reported by Biswas et al.,SRTMGL3 (90 m),Not reported (model 0.25 deg),90 m -> 1 km,static,static,m / deg,"Horn at 90 m then aggregate; Biswas algorithm not reported",Slope is strongly scale-dependent (0.25-deg DEM slope mean 0.29 deg vs 5.72 deg),Limited
Distance to roads / railways / waterways,OpenStreetMap 2022 (vector),Geofabrik OSM 2022 (6 zone extracts),vector -> 0.25 deg,1 km EDT (equidistant conic),static,static,km,"Road/rail/water class filters and algorithm not reported by Biswas",Validated here vs geodesic distances (RMSE 0.31-0.65 km),Moderate
Burned area (validation only),MCD64A1.061,MCD64A1.061,500 m,500 m,monthly,monthly,km2,Not a predictor in either study,-,-
