ID,feature,name,equation,source,product,original_resolution,final_resolution,temporal_resolution,units,aggregation,QA,normalization,nan_pct_all_pixels,leakage_risk,biswas_equivalent,status,feature_set,leakage_or_validity_issue
1.0,v2_ndvi_mean,NDVI mean,mean_t NDVI(t),NASA LP DAAC,MOD13A3.061,1 km,1/120 deg (~0.93 km),monthly -> static (266 months),-,temporal mean,"pixel_reliability in {0,1}; VI_Quality MODLAND bits for 2007-03/04",none; median imputation fitted on training rows,0.0,none,NDVI (MOD13C2),reproduced (different product),v2 (primary),
2.0,v2_ndvi_clim_june,NDVI June climatology,mean over June 2001-2020,NASA LP DAAC,MOD13A3.061,1 km,1/120 deg (~0.93 km),climatology,-,calendar-month mean,"pixel_reliability in {0,1}; VI_Quality MODLAND bits for 2007-03/04",none; median imputation fitted on training rows,0.1371,none,-,new,v2 (primary),
3.0,v2_ndvi_sk_tau,NDVI Seasonal Kendall tau,"S / sum_m C(n_m,2) (Hirsch et al. 1982)",NASA LP DAAC,MOD13A3.061,1 km,1/120 deg (~0.93 km),monthly series,-,per pixel,"pixel_reliability in {0,1}; VI_Quality MODLAND bits for 2007-03/04",none; median imputation fitted on training rows,0.0415,none,-,new,v2 (primary),
4.0,v2_ndvi_sen_slope,NDVI seasonal Sen slope,median of within-month pairwise slopes,NASA LP DAAC,MOD13A3.061,1 km,1/120 deg (~0.93 km),monthly series,NDVI/yr,per pixel,"pixel_reliability in {0,1}; VI_Quality MODLAND bits for 2007-03/04",none; median imputation fitted on training rows,0.0415,none,-,new,v2 (primary),
5.0,v2_ndvi_cvsi,Cumulative vegetation stress index,"mean_t sum_{l=1..8} max(-delta_{t-l}, 0)",NASA LP DAAC,MOD13A3.061,1 km,1/120 deg (~0.93 km),monthly,NDVI units,temporal mean,"pixel_reliability in {0,1}; VI_Quality MODLAND bits for 2007-03/04",none; median imputation fitted on training rows,0.2178,low: k*=8 selected by MI using training labels only (same k as all-label selection),-,new,v2 (primary),
6.0,v2_ndvi_lisa,LISA cluster of NDVI mean,"Local Moran (queen, row-standardised, 199 permutations, p<0.05) on 8x8 block means, India cells only",NASA LP DAAC,MOD13A3.061,8 km blocks,1/120 deg (~0.93 km),static,category 0-4,nearest upsampling,"pixel_reliability in {0,1}; VI_Quality MODLAND bits for 2007-03/04",none; median imputation fitted on training rows,0.0,none,-,new,v2 (primary),
7.0,v2_tair_level,Air temperature (climatological level),mean over months of the 2001-2020 calendar-month means of Tair_f_tavg,NASA GES DISC,FLDAS_NOAH01_C_GL_M.001,0.1 deg,1/120 deg (~0.93 km),monthly -> climatology,K,bilinear 0.1 deg -> 1 km,fill <= -9998 -> NaN,none; median imputation fitted on training rows,1.1393,"none (covariate climatology, not label)",Air temperature,reproduced (same source),v2 (primary),
8.0,v2_tair_sk_tau,Air temperature Seasonal Kendall tau,Hirsch et al. 1982 on monthly series,NASA GES DISC,FLDAS_NOAH01_C_GL_M.001,0.1 deg,1/120 deg (~0.93 km),monthly series,-,bilinear,fill -> NaN,none; median imputation fitted on training rows,1.1393,none,-,new,v2 (primary),
9.0,v2_qair_level,Specific humidity (climatological level),mean over months of the 2001-2020 calendar-month means of Qair_f_tavg,NASA GES DISC,FLDAS_NOAH01_C_GL_M.001,0.1 deg,1/120 deg (~0.93 km),monthly -> climatology,kg/kg,bilinear 0.1 deg -> 1 km,fill <= -9998 -> NaN,none; median imputation fitted on training rows,1.1393,"none (covariate climatology, not label)",Specific humidity,reproduced (same source),v2 (primary),
10.0,v2_qair_sk_tau,Specific humidity Seasonal Kendall tau,Hirsch et al. 1982 on monthly series,NASA GES DISC,FLDAS_NOAH01_C_GL_M.001,0.1 deg,1/120 deg (~0.93 km),monthly series,-,bilinear,fill -> NaN,none; median imputation fitted on training rows,1.1393,none,-,new,v2 (primary),
