id,equation_or_rule,manuscript_statement_(source),code_location,implemented_form,inputs_and_units,how_verified,verified_value_or_output,match,discrepancy_and_scientific_consequence,action
E01,Fire-point rasterisation,"col=round((lon-c)/a), row=round((lat-f)/e) with c,f the affine origin (CLAUDE.md; STUDY_METHODOLOGY_AND_GAPS.md Part I §0)",NDVI_ANALYSIS_WITH_FFP.ipynb F10 cell; also Steps 3/4/5 coincidence stats,"round() applied against the top-left EDGE (c,f), not pixel centres",lon/lat deg; a=1/120 deg,Re-rasterised 541545 recalculated points both ways; historical rule reproduces F10 bit-exactly,"405,723 of 541,545 points (74.9%) land in a neighbouring pixel; fire_ever Jaccard(hist, containing-pixel)=0.4965",NO,"Half-pixel (~0.46 km) systematic SE shift of every label; affects RF/MaxEnt labels, CVSI k*, theta*, all fire-coincidence statistics",Fixed in v2 (floor on edges = containing pixel); v1 kept as historical
E02,Grid spacing,"a=0.01, e=-0.01 'confirmed on every raster' (STUDY_METHODOLOGY_AND_GAPS.md §0)",raw MOD13A3 GeoTIFF transform,a=0.008333333332583237 deg (1/120 deg),deg,Read transform of a raw MOD13A3 file,"3641 x 3504, a=1/120 deg (~0.93 km)",NO,Documentation error only (transform printed rounded),Correct text to 1/120 deg (~0.93 km at equator)
E03,NDVI scaling / QA,"NDVI=DN*1e-4, valid [-0.2,1.0], QA in {Good, Marginal}",Step 2 read_single_ndvi,Same; BUT months with no pixel-reliability file get NO QA filter (qa_files_dict.get -> None),DN int16,Recalc R4 with the historical rule,"2007-03 and 2007-04 have no reliability layer (a 2025-03 layer was downloaded instead); both months used unfiltered",PARTIAL,Two months include cloud/snow-contaminated pixels,v2 uses VI_Quality MODLAND bits for those two months
E04,Climatology / anomaly mean,"delta(t)=x(t)-mean_m(x) over 2001-2020; feature = time mean of delta (Steps 2,3,4)",Steps 2/3/4,anomaly_mean = nanmean over 266 months of (x - clim_2001-2020),any,"Algebraic identity + numerical check on raw FLDAS (all 7 vars, max err <=4.4e-5) and NDVI","Feature == sum of anomalies of the 26 out-of-baseline months / n_valid; FLDAS spatial std of level is 40-431x the anomaly-mean std",YES (as coded) / DEFECTIVE (as a predictor),"Feature carries no climatological level and almost only 2000-11/12 + 2021-2022 signal; Biswas-comparable levels absent",v2 replaces with 2001-2020 climatological annual-mean levels
E05,2x12-MA additive decomposition,"trend = 2x12 centred MA (weights 1/24,1/12..,1/24); seasonal = monthly mean of detrended; residual = remainder",Step 2 trend cell,"NaN-aware renormalised weights; seasonal NOT centred to zero-sum",NDVI,Recalc R4,"F5 residual mean is identically ~0 (std 1.7e-9 in parquet)",YES (as coded),"F5 is degenerate by construction (no information); F4 time-mean ~ F1",v2 drops F5 and F4
E06,Mann-Kendall (NDVI),"MK S=sum sign(x_j-x_i), Var=n(n-1)(2n+5)/18, tau=S/(n(n-1)/2), p normal approx",Step 2 lag-sweep,Applied to the 2x12-MA TREND series; no tie correction; no autocorrelation correction,NDVI,"Brute-force unit test of S; recalc R4 incl. lag-1 autocorrelation of the trend series",see R4_report.json (F6),PARTIAL,"MK variance assumes independence; an MA-smoothed series is strongly autocorrelated -> p-values anti-conservative, significance counts unreliable",v2 uses Seasonal Kendall on monthly NDVI + seasonal Sen slope + BH-FDR
E07,Mann-Kendall (LST/FLDAS),"MK on monthly series + BH-FDR (Steps 3,4)",Steps 3/4 mann_kendall_gpu_vectorized,MK on the RAW monthly series including the seasonal cycle,"LST degC, FLDAS native units",Recalc R2 reproduces FLDAS tau bit-exactly (r=1.000000); SK computed alongside,"Air temp: raw-MK FDR-significant 0 px vs Seasonal-Kendall FDR-significant 9,988 of 29,056 FLDAS px",NO (method),"MK assumes no seasonality; published claim 'air-temperature trend was multiple-testing noise' is an artefact of the invalid test",v2 uses Seasonal Kendall (Hirsch et al. 1982) + BH-FDR
E08,Benjamini-Hochberg FDR,"k=max{i: p_(i)<=(i/m)alpha}, alpha=0.05",statsmodels multipletests fdr_bh,Same,p-values,Own implementation checked equal to statsmodels,match,YES,Correct procedure but applied to invalid p-values (E06/E07),Re-applied to Seasonal Kendall p-values in v2
E09,Relative humidity,"e_s=6.112 exp(17.67Tc/(Tc+243.5)); e=q p/(0.622+0.378q); RH=100 e/e_s",Step 4 compute_relative_humidity,Same (p in hPa); clipped to [0,100],"q kg/kg, p Pa->hPa, T K",Recalc R2 reproduces fldas_rh_* bit-exactly,national mean RH level 52.3%,YES,None,-
E10,Precipitation units,kg m-2 s-1 -> mm/month,Step 4 month_to_precip_mm; cdr_pinn build_monthly_stacks,Step 4: x86400 x days_in_month; CDR stack: x86400 x 30,kg m-2 s-1,Code read,-,PARTIAL,"CDR-PINO dryness proxy uses a 30-day month; <=3.3% scale error per month, removed by z-scoring",Document
E11,Soil moisture units,theta(m3/m3) x 0.1 m x 1000 kg/m3 -> kg/m2,Step 4 soil_moisture_kgm2,Same,m3/m3,Recalc R2 bit-exact,national mean 26.37 kg/m2,YES,None,-
E12,Horn slope / aspect,"dz/dx=[(z3+2z6+z9)-(z1+2z4+z7)]/(8dx); slope=atan(sqrt(zx^2+zy^2)); aspect=atan2(zy,-zx)",Step5a,"Same, latitude-dependent dx, 90 m then area-mean to 1 km; aspect circular mean",m,Self-tests in notebook; recalc R6,see R6_report.json,YES,Aspect used as raw degrees in v1 (0/360 discontinuity),v2 uses sin/cos(aspect)
E13,Euclidean distance transform,D(p)=min_q ||p-q||_2 on 1 km eqdc grid (all_touched rasterisation),Step5b,Same,km,Recalc R7 + exact geodesic validation on 3000 pixels,see R7_report.json,see R7,Raster quantisation / projection error quantified in R7,Report error
E14,CDR governing equation,"du/dt = D lap(u) - v.grad(u) + rho s(1-s), s=sigmoid(u) (CDR_PINN_Methodology_Section.md §3)",model.py CDRPINN.pde_residual,"r = (u_{t+1}-u_t)/1 - D lap(u_mid) + v.grad(u_mid) - rho s(u_mid)(1-s(u_mid)); u_mid=(u_t+u_{t+1})/2",x,y km (R=6371); t months,Code read + numerical term audit on reproduced Track-A checkpoint,"Signs consistent; see E15-E22",YES (signs),Non-conservative diffusion D lap(u) (not div(D grad u)); stated consistently,State explicitly in manuscript
E15,Reaction term naming,"'Fisher-KPP form R = rho s(1-s)' (model.py docstring; design docs)",model.py ReactionHead,Reaction applied to the LOGIT u: du/dt = rho s(1-s),"u logit, s=sigmoid(u)",Chain rule: ds/dt = s(1-s) du/dt,"Equivalent to ds/dt = rho s^2 (1-s)^2 for the probability s, NOT Fisher-KPP ds/dt = rho s(1-s)",NO (terminology),"'Fisher-KPP' label is mathematically incorrect; term is a bounded bump in u (max rho/4 at s=0.5)",Rename or reformulate; disclose
