id,claim,source_document,evidence_from_audit,verdict,recommended_wording
C01,"This project replicates Biswas et al.'s MaxEnt method directly and beats it (0.9576 vs. their 0.879)",CDR_PINN_Full_Paper_Draft.md §5.3,"Historical MaxEnt (elapid LHP, beta=4, 150k rows, 57 features, pixel presence/absence on 4.16M pixels at 6.5% prevalence, 2000-2022 labels) scores 0.9598 (reproduced; 0.9576 does not appear in any output). Biswas: MaxEnt 3.4.4 presence-background, 15 predictors at 0.25 deg, 2020 presences only, AUC vs background. Populations, predictors, labels, resolution and AUC definition all differ. Biswas-style re-implementation on this project's data under Biswas's protocol gives test AUC 0.893 +/- 0.009 (range 0.877-0.912)",NOT DIRECTLY COMPARABLE (and number not traceable),"Under a Biswas-style protocol re-implemented with this study's data (0.25 deg, 15 level predictors, 2020 presences, MaxEnt), test AUC was 0.893 +/- 0.009 over 10 random presence splits, of the same order as the 0.879 reported by Biswas et al. under their own data. Pixel-level AUCs from this study's 1 km evaluation are not comparable with Biswas et al.'s presence-background AUC."
C02,"Full 15/15 predictor-group parity with Biswas et al.",Full_Paper_Draft §2 item 4; CLAUDE.md; STUDY_METHODOLOGY_AND_GAPS §5,"All 15 predictor GROUPS are represented, but in v1 the climate and LST predictors enter only as anomaly-means (degenerate: 26-month out-of-baseline residue) and MK trends; the Biswas-type LEVEL of air temperature, specific humidity, LST, soil moisture, precipitation, wind and net LW is absent from the v1 model. Sources differ for 5 of 15 (LST MOD11A2 vs MOD11C3; NDVI MOD13A3 1 km vs MOD13C2 0.05 deg; precipitation FLDAS/CHIRPS vs GPM IMERG; soil moisture and net LW FLDAS vs GLDAS)",PARTIALLY SUPPORTED (v1) / SUPPORTED at group level (v2),"All 15 of Biswas et al.'s predictor variables are represented (v2: as 2001-2020 climatological levels, the form Biswas et al. used), five of them from different source products (Table X)."
C03,"Specific humidity is added beyond Biswas's predictor set / should read 'relative humidity (derived)'",STUDY_METHODOLOGY_AND_GAPS.md II.A1,"Specific humidity IS one of Biswas's 15 predictors (Table 3), so it is not an extension. In the v1 model, specific humidity enters per pixel (fldas_qair_anomaly, fldas_qair_mk_tau_monthly; 3.76M distinct values) -- the gap document's statement that it is only a national scalar is incorrect. Relative humidity is an ADDITIONAL derived per-pixel predictor",NOT SUPPORTED (both the manuscript's 'extension' framing and the gap document's proposed correction),"Specific humidity (FLDAS Qair, the same source Biswas et al. used) enters as a per-pixel predictor; relative humidity derived from specific humidity, air temperature and surface pressure is an additional predictor not used by Biswas et al."
C04,"CDR-PINN scores 0.7510 on spatial-block CV versus RF 0.950 and MaxEnt 0.946 'on the same fold scheme' / 'matching CDR-PINN's Track B1 exactly'",Full_Paper_Draft abstract; STUDY_METHODOLOGY_AND_GAPS §7,"Different fold assignment (GroupKFold anchored at 0 deg vs random permutation of blocks anchored at 68.2E/6.75N), different grid (1 km vs 12 km), different label and prevalence (6.5% vs 40.6%), different features (57 vs 7). On CDR-PINO's own cells, folds and covariates, RF scores 0.974 vs CDR-PINO 0.719 (3 seeds)",NOT SUPPORTED as stated (conclusion direction holds and strengthens),"On CDR-PINO's own 12 km cells, spatial-block folds and covariates, a Random Forest reached ROC-AUC 0.974 versus 0.719 (mean of 3 seeds) for CDR-PINO."
C05,"Temporal generalisation to unseen years is strong (B3 AUC = 0.8960); temporal generalisation no classical baseline was evaluated on",Full_Paper_Draft abstract, §5.4,"Reproduced (0.8960; leak-free 0.893 +/- 0.003). On identical cell-months: no-covariate climatological-frequency null 0.908, seasonal-frequency null 0.930, RF with monthly covariates + month 0.972; every CDR-PINO configuration scores below both null baselines",NOT SUPPORTED,"CDR-PINO's leave-years-out AUC (0.893, leak-free) was below that of a covariate-free persistence baseline using each cell's training-period fire frequency (0.908) and seasonal frequency (0.930)."
C06,"Term ablation demonstrates each mechanism contributes measurable predictive value (diffusion-only 0.602, +advection 0.924, full 0.940)",Full_Paper_Draft abstract; Methodology §8,"Historical ablation used a fixed 80-epoch budget without validation, single seed, and no no-physics arm; diffusion-only 0.602 was a documented collapse. Under one validated protocol, 3 seeds: no physics 0.9450, diffusion 0.9242, diff+adv 0.9394, full 0.9388; every physics configuration is significantly BELOW no physics on Track A (DeLong, all seeds) and on B3",NOT SUPPORTED,"Under an identical validated protocol (3 seeds), no physics-term configuration improved on the same network trained without physics losses; the full CDR model scored 0.006 ROC-AUC lower on the random split and 0.011 lower on unseen years."
C07,"Elevation dominates the trained operator; mechanistic attribution capability no correlational baseline offers",Full_Paper_Draft abstract, §5.1,"Holds inside the 7-covariate CDR-PINO model. In a model with the full predictor set, removing terrain entirely changes AUC by -0.0001 (all) / -0.0006 (forest) -- terrain is redundant given climate/LST/NDVI. Biswas also rank elevation low (2.4%). Classical permutation importance and jackknife provide the same attribution capability",PARTIALLY SUPPORTED (model-specific),"Within the CDR-PINO covariate set, elevation carries most of the predictive signal; this reflects the restricted covariate set rather than a general driver ranking (with the full predictor set, terrain is redundant)."
C08,"Each CDR term maps onto Biswas's predictor groups: diffusion<->biophysical/climatic (33.9%+26.1% of their MaxEnt contribution), advection<->topographic (9.7%), reaction<->human (10.8%)",CDR_PINN_Methodology_Section.md §3,"The group totals are Biswas's PERMUTATION IMPORTANCE, not contribution (verified arithmetic). Diffusion term is numerically negligible (0.04% of RHS magnitude) in every trained model; reaction inputs include dryness/NDVI/slope, not only human-activity variables",NOT SUPPORTED (mislabelled source figures; mapping not reflected in trained dynamics),"Report group figures as permutation importance; describe the term-to-group mapping as a design intent, and report that the trained diffusion term is numerically negligible."
C09,"This extraction runs 0.5-2.4% higher than Biswas et al.'s own annual counts -- a validation",Step 1 README; STUDY_METHODOLOGY_AND_GAPS §1,"Reproduced: +0.51% to +2.43%, r=0.99996 over 20 years. Biswas counts are derived from rounded percentages x 475,950 (+/-24 points each)",SUPPORTED,"Annual forest-fire counts agree with those derived from Biswas et al.'s published shares (r = 0.99996; this study 0.5-2.4% higher, 2001-2020)."
C10,"Pipeline extends Biswas with trend/anomaly/decomposition features",STUDY_METHODOLOGY_AND_GAPS; README files,"v1 anomaly-means are degenerate; MK trends used invalid tests. With valid Seasonal-Kendall trends, the trend group adds +0.0013 (all) / +0.0056 (forest) AUC (DeLong, identical test set); total extra-predictor gain over Biswas-15 under RF +0.0046 / +0.0123",PARTIALLY SUPPORTED (small, measurable gain with corrected features),"Additional engineered predictors (valid trend tests, land-cover fractions and others) improved ROC-AUC over the Biswas-equivalent predictor set by 0.005 (all pixels) and 0.012 (forest pixels) under the same model and split."
C11,"RF/MaxEnt vs Biswas: this study achieves higher accuracy",implicit in Tables (0.9704 vs 0.879),"Different evaluation population and AUC definition",NOT DIRECTLY COMPARABLE,"Under the present evaluation protocol, the Random Forest achieved 0.975 (all pixels) and 0.897 (forest pixels); Biswas et al. reported 0.879 under a different protocol, population and AUC definition."
C12,"Biswas et al. did not validate spatially/temporally; this study adds spatial, regional and temporal validation",Novelty docs,"Verified: Biswas report only a single random presence hold-out. This study adds spatial-block, regional and unseen-year tracks",SUPPORTED (as a methodological extension; results must be reported with the nulls),"This study adds spatial-block, leave-one-region-out and unseen-year evaluation, none of which were reported by Biswas et al."
